"Metamorphic Relation (MR)","Source Input","Initial Output","Transformation of the input","New Output Check"
"MR1: Equivalence", "GET /data/deviceA", "Response from GET /data/deviceA", "Repeat the request", "Both responses should be equivalent"
"MR2: Equality", "GET /data/deviceA/configurations?orderBy=timestamp", "Response from GET /data/deviceA/configurations?orderBy=timestamp", "Repeat the request", "Both responses should be equal"
"MR3: Subset", "GET /data/deviceA/interfaces", "Response from GET /data/deviceA/interfaces", "GET /data/deviceA/interfaces?filter=type:Ethernet", "Filtered response should be a subset of the original"
"MR4: Disjoint", "GET /data/deviceA/interfaces?filter=type:Ethernet", "Response from GET /data/deviceA/interfaces?filter=type:Ethernet", "GET /data/deviceA/interfaces?filter=type:Optical", "Responses should have no common elements"
"MR5: Complete", "GET /data/deviceA/configurations?limit=10&page=1", "Response from GET /data/deviceA/configurations?limit=10&page=1", "GET /data/deviceA/configurations?limit=10&page=2", "Combined responses should equal to 'GET /data/deviceA/configurations'"
"MR6: Difference", "GET /data/deviceA/routes", "Response from GET /data/deviceA/routes", "GET /data/deviceA/routes?exclude=static", "Responses should differ by static routes"
"MR7: Check Reversed Order", "GET /data/deviceA/logs?orderBy=timestamp", "Response from GET /data/deviceA/logs?orderBy=timestamp", "GET /data/deviceA/logs?orderBy=timestamp&order=desc", "Second response should have items in reverse order of the first"
"MR8: Default Values", "GET /data/deviceA/interfaces/interface1", "Response from GET /data/deviceA/interfaces/interface1", "Modify interface1 with default values and GET", "Responses should be equivalent"
"MR9: Node Existence", "POST /data/deviceA/newNode", "Response after POST /data/deviceA/newNode", "GET /data/deviceA/newNode", "The node should exist in the output"
"MR10: Remove Node", "DELETE /data/deviceA/newNode", "Response after DELETE /data/deviceA/newNode", "GET /data/deviceA/newNode", "The node should not exist"
"MR11: Update Check", "PATCH /data/deviceA/interface1 with new values", "Response after PATCH /data/deviceA/interface1", "GET /data/deviceA/interface1", "Updated values should reflect in output"
"MR12: Configuration Persistence", "GET /data/deviceA/configurations", "Response from GET /data/deviceA/configurations", "Restart service and GET /data/deviceA/configurations", "Both configurations should be equivalent"
"MR13: Default vs Explicit", "GET /data/deviceA/interfaces?limit=10", "Response from GET /data/deviceA/interfaces?limit=10", "GET /data/deviceA/interfaces", "Responses should be equivalent assuming default limit is 10"
"MR14: Pagination Completeness", "GET /data/deviceA/routes?limit=50&page=1", "Response from GET /data/deviceA/routes?limit=50&page=1", "GET /data/deviceA/routes?limit=50&page=2", "Combining both should cover all routes assuming <= 100 routes"
"MR15: Filtering Consistency", "GET /data/deviceA/logs", "Response from GET /data/deviceA/logs", "GET /data/deviceA/logs?filter=severity:error", "Filtered results should be subset of first and have severity 'error'"
"MR16: Check Empty Set", "GET /data/deviceA/interfaces?filter=type:NonExistentType", "Response from GET /data/deviceA/interfaces?filter=type:NonExistentType", "GET /data/deviceA/interfaces", "First response should be empty"
"MR17: Field Update Check", "PATCH /data/deviceA/interface1 with new description", "Response after PATCH /data/deviceA/interface1", "GET /data/deviceA/interface1", "Updated description should reflect in output"
"MR18: Check Null", "PATCH /data/deviceA/interface1 with null value", "Response after PATCH /data/deviceA/interface1", "GET /data/deviceA/interface1", "Field should either be null or have default value in output"
"MR19: Range Query", "GET /data/deviceA/logs?timestamp=after:2023-01-01", "Response from GET /data/deviceA/logs?timestamp=after:2023-01-01", "GET /data/deviceA/logs", "Filtered response should be a subset of the unfiltered response"
"MR20: Duplicate Check", "POST duplicate /data/deviceA/interface1", "Response after POST duplicate /data/deviceA/interface1", "GET /data/deviceA/interfaces", "Response shouldn't have duplicates"
