"Metamorphic Relation (MR)","Source Input","Initial Output","Transformation of the input","New Output Check"
"MR1: Synonym Consistency","'Car'","Results related to cars","Replace 'Car' with 'Automobile'","Results should include overlapping websites that discuss cars or automobiles."
"MR2: Capitalization Invariance","'apple'","Results about apples or Apple Inc.","Change 'apple' to 'Apple'","The results should remain relatively consistent."
"MR3: Stop Word Robustness","'The Great Gatsby'","Results about 'The Great Gatsby'","Remove stop words: 'Great Gatsby'","Results should remain largely consistent."
"MR4: Order-Independence","'red apple'","Results discussing red apples","Reverse the words: 'apple red'","Results should remain largely consistent."
"MR5: Plurality Consistency","'book'","Results about single books","Change 'book' to 'books'","The majority of results should remain consistent."
"MR6: Exact Match Highlight","'“To be or not to be”'","Results with Shakespearean references","No transformation","Results should prioritize exact matches of the phrase."
"MR7: Language Invariance","'Hello'","Results related to greetings in English","Translate to French: 'Bonjour'","Results should be related to greetings in respective languages."
"MR8: Query Expansion","'GM'","Results related to GM or miscellaneous references","Expand acronym: 'General Motors'","Overlap should exist in results, related to General Motors."
"MR9: Special Characters Handling","'C++'","Results related to the C++ programming language","Remove special characters: 'C'","Results for 'C++' should be more specific to the programming language."
"MR10: Date-Based Retrieval","'News January 1, 2023'","News articles from January 1, 2023","Change date: 'News January 2, 2023'","Results should reflect the content published on the respective dates."
"MR11: Numeric vs Verbal Number","'Five apples'","Results discussing quantities of apples","Replace verbal number with numeric: '5 apples'","Overlap in results discussing the quantity of apples."
"MR12: Spelling Variance","'Color'","Results in American English","Use alternative spelling: 'Colour'","Overlap in results, reflecting both American and British English."
"MR13: Negation Handling","'Apple'","Results about Apple Inc. or the fruit","Add negation: 'NOT Apple'","Results should exclude or minimize content related to Apple."
"MR14: Domain-Specific Search","'site:wikipedia.org Mars'","Results from Wikipedia about Mars","Change domain: 'site:nasa.gov Mars'","Results should be from the respective domains."
"MR15: Wildcard Handling","'App*'","Results on topics starting with 'App'","Use complete word: 'Apple'","Results should encompass topics related to words starting with 'App'."
